Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,cluster_label
97757,4XQdfC05SOGjriwltbh0aO,Zezé Di Camargo & Luciano,Zezé Di Camargo e Luciano - 20 Anos de Carreira,A Ferro e Fogo,45,222506,0.0,0.604,0.786,4,-4.54,1,0.0419,0.106,0.0,0.373,0.564,82.21,4,sertanejo,0
25816,6mdCLbrYwN7h3A5N9O05g9,Bagno,Parkiet,Parkiet,30,138631,0.0,0.852,0.751,11,-6.506,0,0.264,0.102,0.0,0.29,0.944,145.107,4,disco,0
66678,4oaLPF7Y6udoeuxmqJzfiD,Babyboomboom,English and French,Old MacDonald (Le Vieux Macdonald),9,210600,0.0,0.609,0.225,4,-17.886,1,0.109,0.792,1.94e-06,0.0845,0.658,199.859,4,kids,0
6249,13egNICeT6BaEjXAFHd7k4,Toxic Holocaust,Primal Future: 2019,Deafened By The Roar,22,90595,0.0,0.41,0.987,6,-4.241,0,0.0651,0.000121,0.0,0.254,0.117,95.047,4,black-metal,0
52411,2MIZMR2WHqtdHpeuKUcs1l,Stonewall Jackson,Washed My Hands in Muddy Water,I've Got Life to Go,13,143542,0.0,0.652,0.31,4,-10.71,1,0.0332,0.962,0.0018,0.0992,0.568,130.98,4,honky-tonk,0
20304,1I4lCSP69P74nU3a6Su5L2,Duke & Jones;Louis Theroux,Jiggle Jiggle,Jiggle Jiggle,77,97208,0.0,0.864,0.412,1,-5.886,1,0.273,0.458,0.00087,0.124,0.654,99.992,4,dance,0
90536,4qqWBHZFTxdUYO5BuWBsXr,Los Apson,12 Grandes exitos Vol. 1,Por eso estamos como estamos,32,148826,0.0,0.674,0.858,4,-6.311,1,0.0849,0.831,0.0,0.249,0.792,96.893,4,rock-n-roll,0
77983,7IuqrIXZcAWtlm644QCpDm,César Menotti & Fabiano;Luan Santana,Memórias II (Ao Vivo) - Deluxe,Olhos de Luar - Ao Vivo,42,285200,0.0,0.28,0.746,0,-4.766,1,0.0613,0.535,0.0,0.941,0.473,203.994,3,pagode,0
12678,5PZJxhLQ34IbwrB6VDVSnz,Khalil Fong,Timeless,Wonderful tonight,45,224066,0.0,0.79,0.167,7,-13.743,1,0.0363,0.506,0.00222,0.109,0.225,94.522,4,cantopop,0
95509,7JRxhVAJDCye7fHjFufJ41,Marc Anthony,The Cali Sessions,-Tu Amor Me Hace Bien,30,283167,0.0,0.588,0.471,7,-14.093,1,0.0371,0.609,0.0441,0.277,0.761,97.371,4,salsa,0
19030,60HMnpDctYiFAoGkj5ciW6,Luke Bryan,Country Christmas Greatest Hits,Run Run Rudolph,2,172733,0.0,0.606,0.972,9,-4.872,1,0.0459,0.0217,0.000161,0.338,0.856,151.049,4,country,0
16341,2Tmrq0AalsqBPUPEV2SeAy,Franz Liszt;Una Bourne,"Mozart, Liszt & Others: Piano Works","Spinnerlied aus dem Fliegenden Holländer, S. 440 (After Wagner's WWV 63)",0,241213,0.0,0.311,0.278,9,-21.328,1,0.0409,0.97,0.0336,0.239,0.184,122.559,5,classical,0
41090,1w0KiISRudPcNCW1SfGk7D,Håkan Hellström,Det är så jag säger det,Förhoppningar och regnbågar,34,261733,0.0,0.351,0.897,2,-5.253,1,0.0688,0.00635,7.26e-06,0.296,0.64,109.661,4,goth,0
61363,0EDTww22rirbK6VBZi9vTK,Perfume,Cling Cling,いじわるなハロー,24,247040,0.0,0.5,0.958,0,-1.695,0,0.035,0.00817,0.318,0.732,0.955,130.059,4,j-idol,0
109268,0s9PamCNwYSK5hjmlUZtNZ,Sian,Midnight / Energy,Midnight,41,276000,0.0,0.795,0.895,10,-5.024,0,0.0495,0.000168,0.87,0.093,0.192,120.01,4,techno,0
43898,3dEu0YDRuoXztatON4VqXw,Novo Som,"Para Sempre, Vol. 3",Para Sempre,24,232013,0.0,0.628,0.395,9,-12.696,1,0.0282,0.411,0.0,0.413,0.385,130.306,4,groove,0
60436,1p6HlAY5kpFwxpExjVjILD,Kiprich,Outta Road,The Letter,22,230253,0.0,0.768,0.502,5,-7.98,1,0.0557,0.362,0.0,0.266,0.963,83.99,4,j-dance,0
38428,6eD0oAyhF9DmUYDQbQN7Su,The Spaceshits,Misbehavin',I'm in Love,28,90213,0.0,0.457,0.994,4,-4.396,1,0.0877,0.173,0.938,0.345,0.728,132.156,4,garage,0
30483,6KfqrM6To2CjbXqJN3Pulw,Felix Jaehn;Robin Schulz;Georgia Ku,Night Drive Autumn/Winter 2022/23,I Got A Feeling,0,144734,0.0,0.598,0.833,2,-3.716,0,0.048,0.0196,0.0,0.292,0.406,124.973,4,edm,0
74805,6BMzeMqNHmMtU5ucEWvbW9,Milton Nascimento,Drão,Drão,40,251250,0.0,0.316,0.151,0,-13.062,1,0.0344,0.958,0.000383,0.152,0.102,74.359,4,mpb,0
70075,1U6aNzlYxoCGGm7K6Nu9EE,JJ Lin;Anne-Marie,Like You Do,Bedroom (feat. Anne-Marie),52,203990,1.0,0.369,0.424,7,-5.431,1,0.0318,0.64,0.0,0.184,0.181,179.597,4,mandopop,0
71853,0hAIs32U2SmJcXymlcyF8h,Asking Alexandria,Asking Alexandria,Alone In A Room,64,245861,1.0,0.482,0.946,4,-3.23,0,0.0852,0.00251,0.0,0.0466,0.284,135.071,4,metal,0
71836,3o7TMr6RmIusYH7Kkg7ujR,Korn,See You On the Other Side,Coming Undone,75,199773,0.0,0.687,0.677,2,-4.172,1,0.0508,0.000643,0.000137,0.0564,0.545,75.052,4,metal,0
65945,7oGYa1wyKeGKzSg67jym6S,Alka Yagnik;Babul Supriyo,Chori Chori Chupke Chupke,Chori Chori Chupke Chupke - Chori Chori Chupke Chupke / Soundtrack Version,46,455000,0.0,0.6,0.72,9,-7.667,0,0.0466,0.62,1.98e-05,0.0594,0.585,94.95,4,k-pop,0
